colecao;Identificacao;grupo;serie;subserie;tipologia;descricao;titutlo;titulo atribuido;data;data-periodo;;autoria;idioma;quantitade;local de producao;veiculo de publicacao;local de publicacao;tipo de publicacao;genero;forma;formato;escritura;suporte;dimensao;estado de conservacao;observacoes;documentos realcionados;numero da caixa;nome da caixa;numero da pasta;nome da pasta;numero serie;;;;;;;;;;;;
1;BRFM_AM_13_062;1;20;;6;Texto do catálogo da exposição do artista plástico Moacyr Toledo realizada na Montesanti Galleria.;Pintura sobre pintura;;;--/11/1987;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 21,00 cm;Bom;Doc. 172;;6;6;;;62;;;;;;;;;;;;
1;BRFM_AM_13_063;1;20;;6;Texto do catálogo da exposição do artista plástico Paulo Laender realizada na Galeria Bonino.;;;;--/05/1988;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;20,5,00 x 20,5,00 cm;Bom;Doc. 173;;6;6;;;63;;;;;;;;;;;;
1;BRFM_AM_13_064;1;20;;6;"Texto do catálogo da exposição ""15 Anos de Exposição de Belas Artes Brasil-Japão"" realizada na Fundação Mokiti Okada.";;;;;;Frederico Morais;Português;1 página;São Paulo, SP;;;;Textual;Original;1;Impresso;3;21,00 x 21,00 cm;Bom;Doc. 174;;6;6;;;64;;;;;;;;;;;;
1;BRFM_AM_13_065;1;20;;6;Texto do cartaz do 1º Encontro de Arte Contemporânea de Petrópolis realizado no Centro Cultural de Petrópolis.;Petrópolis Urgente;;;--/01/1987;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;31,00 x 43,00 cm;Dobrado;Doc. 175;;6;6;;;65;;;;;;;;;;;;
1;BRFM_AM_13_066;1;20;;6;Texto de convite da exposição da artista plástica Maria do Carmo Secco realizada na Galeria Paulo Klabin.;Maria do Carmo Secco;;;--/08/1987;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;28,00 x 42,00 cm;Dobrado;Doc. 176;;6;6;;;66;;;;;;;;;;;;
1;BRFM_AM_13_067;1;20;;6;Texto do catálogo da exposição da artista plástica Tomie Ohtake realizada na Galeria Thomas Cohn Arte Contemporânea.;Tomie Ohtake: estrela do céu da arte brasileira;;;--/09/1987;;Frederico Morais;Português;6 páginas;Rio de Janeiro, RJ;;;;Textual, Iconográfico;Original;1;Impresso;3;21,00 x 24,5,00 cm;Bom;Doc. 177;;6;6;;;67;;;;;;;;;;;;
1;BRFM_AM_13_068;1;20;;6;Texto do catálogo da exposição do artista plástico Franz Weissmann.;Introdução a Franz Weissmann;;;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;17,5,00 x 23,5,00 cm;Bom;Doc. 178;;6;6;;;68;;;;;;;;;;;;
1;BRFM_AM_13_069;1;20;;6;Texto do catálogo da exposição do artista plástico Macaparana realizada na Galeria Bonino.;;;;--/09/1987;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;20,5,00 x 20,00 cm;Bom;Doc. 179;;6;6;;;69;;;;;;;;;;;;
1;BRFM_AM_13_070;1;20;;6;Texto do catálogo da exposição do artista plástico Mickael Bethe-Selassié realizada na Galeria Bonino.;;;;--/05/1987;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,5,00 x 21,5,00 cm;Bom;Doc. 180;;6;6;;;70;;;;;;;;;;;;
1;BRFM_AM_13_071;1;20;;6;Texto do catálogo da exposição do artista plástico Antônio Henrique Amaral. Em anexo folheto.;Triptych for Antônio Henrique Amaral;;;--/09/1989;;Frederico Morais;Inglês;11 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;23,00 x 23,00 cm;Bom;Doc. 181;;6;6;;;71;;;;;;;;;;;;
1;BRFM_AM_13_072;1;20;;6;Texto do catálogo de exposição do artista plástico Luiz Henrique Schwanke.;;;;--/12/1989;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Manchado;Doc. 182;;6;6;;;72;;;;;;;;;;;;
1;BRFM_AM_13_073;1;20;;6;Texto do catálogo da exposição do artista Roberto Burle Marx realizada no Museu Nacional de Belas Artes.;;;;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;20,5,00 x 21,00 cm;Manchado, oxidado;Doc. 183;;6;6;;;73;;;;;;;;;;;;
1;BRFM_AM_13_074;1;20;;6;"Texto do catálogo da exposição ""4 Artistas Cubanos"" realizada na Realidade Galeria de Arte.";"Poética da Revolução: Quatro Artistas Cubanos"".";;;--/06/1987;;Frederico Morais;Português;5 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;22,5,00 x 27,00 cm;Manchado;Doc. 184;;6;6;;;74;;;;;;;;;;;;
