colecao;Identificacao;grupo;serie;subserie;tipologia;descricao;titutlo;titulo atribuido;data;data-periodo;;autoria;idioma;quantitade;local de producao;veiculo de publicacao;local de publicacao;tipo de publicacao;genero;forma;formato;escritura;suporte;dimensao;estado de conservacao;observacoes;documentos realcionados;numero da caixa;nome da caixa;numero da pasta;nome da pasta;numero serie;;;;;;;;;;;;
1;BRFM_AM_05_073;1;7;;6;"Movimento artístico do ""Impressionismo"".";Impressionismo, a Expressão do Fugaz;;1905-06-09;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 13, Nº5, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, Rasgado;Doc. 25;;1;1;;;73;;;;;;;;;;;;
1;BRFM_AM_05_074;1;7;;6;"Movimento artístico do ""Realismo"" e pintor Gustave Courbet.";Realismo de Courbet: Verdade plástica;;1905-06-09;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 13, Nº4, p.43;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 26;;1;1;;;74;;;;;;;;;;;;
1;BRFM_AM_05_075;1;7;;6;"Movimento artístico do ""Romantismo"".";Romantismo - Os Bons Sentimentos;;1905-06-08;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 12, Nº6, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 27;;1;1;;;75;;;;;;;;;;;;
1;BRFM_AM_05_076;1;7;;6;"Movimento artístico do ""Rococó"".";Rococó - O Charme da Frivolidade;;1905-06-08;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 12, Nº5, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 28;;1;1;;;76;;;;;;;;;;;;
1;BRFM_AM_05_077;1;7;;6;"Movimento artístico do ""Barroco"".";Barroco Brasileiro - Transplantado no Litoral Original em Minas Gerais;;1905-06-08;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 12, Nº4, p.43;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, Rasgado;Doc. 29;;1;1;;;77;;;;;;;;;;;;
1;BRFM_AM_05_078;1;7;;6;Núcleo Bernardelli.;O Núcleo Bernardelli e a Interiorização da Arte Brasileira;;1905-06-05;;;Frederico Morais;Português;8 páginas;Rio de Janeiro, RJ;120;Nº5, p.45-52;;Textual;Original;1;Impresso;3;15,00 x 22,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 30;;1;1;;;78;;;;;;;;;;;;
1;BRFM_AM_05_079;1;7;;6;Artista plástico Alberto de Veiga Guignard.;Guignard: um documento-base;;1905-06-02;;;Frederico Morais;Português;15 páginas;Belo Horizonte, MG;125;Nº11, p.7-21;;Textual;Original;1;Impresso;3;15,00 x 21,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 31;;1;1;;;79;;;;;;;;;;;;
1;BRFM_AM_06_001;1;13;;65;Livro Brasilian Art IV.;;;1905-06-25;;;;Português;1 página;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 32.01;;2;2;;;1;;;;;;;;;;;;
1;BRFM_AM_06_002;1;13;;13;Capa do livro Brasilian Art IV. Em anexo sumário da obra e cópia de carta de Nair Barbosa Lima a Frederico Morais.;;;1905-06-25;;;;Português;3 páginas;São Paulo, SP;;;;Textual, Iconográfico;Cópia;1;Impresso;3;"21,00 x 29,5,00 cm; 32cm";Bom;Doc. 32.02;;2;2;;;2;;;;;;;;;;;;
1;BRFM_AM_06_003;1;13;;48;Ensaio relacionado ao livro Brasilian Art IV.;Arte: O Ouro em Minas;;;;;Frederico Morais;Português;9 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 32.03;;2;2;;;3;;;;;;;;;;;;
1;BRFM_AM_06_004;1;13;;65;Lista de sugestões de ilustrações para livro acompanhada de lista de legendas.;;;;;;Frederico Morais;Português;3 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 32.04;;2;2;;;4;;;;;;;;;;;;
